"experiment_abbreviated"	"Genes"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"threshold"	"SGD_name"
"F30_P0"	"YAL025C"	-2.83790956582353	5.63648759675259	-13.5274903150766	1.33166386226894e-09	1.41675718306792e-06	12.3801515284202	"TRUE"	"S000000023"
"F30_P0"	"YAL038W"	2.33584744892156	12.2459122947232	11.4001440041311	1.29229860758615e-08	5.68928353975567e-06	10.2198480409603	"TRUE"	"S000000036"
"F30_P0"	"YAL059W"	-2.48409479020589	7.39431209685986	-8.83519162131206	3.31820395110314e-07	4.05774388917084e-05	7.03836711771022	"TRUE"	"S000000055"
"F30_P0"	"YBL015W"	2.33628773597059	8.9725588713218	3.93388672752421	0.00141648691058678	0.0171055666762006	-1.35600543576191	"TRUE"	"S000000111"
"F30_P0"	"YBL028C"	-2.94616914476471	8.62932512095156	-9.02135075329886	2.56408848263945e-07	3.22826828216193e-05	7.29423310922622	"TRUE"	"S000000124"
"F30_P0"	"YBL039C"	-2.26584751321569	9.49071565666263	-5.7600384804737	4.36101972422914e-05	0.00131064657757271	2.14081509390489	"TRUE"	"S000000135"
"F30_P0"	"YBR067C"	3.09809697673529	11.0865702353616	8.63034303067354	4.42653061682255e-07	4.75695547801768e-05	6.75184678685079	"TRUE"	"S000000271"
"F30_P0"	"YBR117C"	3.67007696743137	7.65454695139446	12.8032928765818	2.78413297979017e-09	1.97469271813251e-06	11.6865838845908	"TRUE"	"S000000321"
"F30_P0"	"YBR196C"	2.61710498133333	10.1318525575727	8.13665769997417	9.04437327216551e-07	7.82301522297308e-05	6.03933205708731	"TRUE"	"S000000400"
"F30_P0"	"YBR214W"	2.74720650888235	9.08927436225952	4.42949004905335	0.000531045051234096	0.00814090533152673	-0.375823226065893	"TRUE"	"S000000418"
"F30_P0"	"YBR230W-A"	2.07938425046078	8.83302765565744	4.85956315280194	0.000231138110144757	0.00438338387491992	0.459650605078341	"TRUE"	"S000029722"
"F30_P0"	"YBR241C"	2.72500357099999	8.63592632520588	4.68349799311734	0.000324100957221243	0.00569935551054018	0.119759104703298	"TRUE"	"S000000445"
"F30_P0"	"YBR267W"	-2.44931004240196	7.7007807556782	-6.42238538216327	1.37172011453603e-05	0.000540508529575883	3.30776001544483	"TRUE"	"S000000471"
"F30_P0"	"YBR280C"	2.24266769253922	7.5561475071436	8.63580331939004	4.39238504932889e-07	4.75695547801768e-05	6.75955242187645	"TRUE"	"S000000484"
"F30_P0"	"YBR296C"	-2.11667980833334	8.37716052474913	-9.40710233671115	1.52097261569455e-07	2.41516830722004e-05	7.81110135831581	"TRUE"	"S000000500"
"F30_P0"	"YCL030C"	2.30038686092156	8.67166807240138	7.14008580290731	4.19250394324446e-06	0.000243737975148513	4.50156711309993	"TRUE"	"S000000535"
"F30_P0"	"YCR012W"	2.73343131825489	11.3468007016471	5.40302871520549	8.34053141758412e-05	0.00209280456961503	1.48662107132819	"TRUE"	"S000000605"
"F30_P0"	"YCR061W"	2.41147777341176	8.37439906614879	3.79146696130738	0.00188412275281695	0.0210337691156553	-1.63955421145617	"TRUE"	"S000000657"
